"id","info","updated_at","mt_loaded_at","mt_load_process"
1204340637852411,"{""gid"": ""1204340637852411"", ""name"": ""Google Analytics 4 Offer"", ""tags"": [], ""due_at"": null, ""due_on"": ""2023-05-12"", ""assignee"": {""gid"": ""1204167891637644"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-05T14:50:06.289Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-26T21:12:26.324Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-26 21:12:26.324,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1203515475032106,"{""gid"": ""1203515475032106"", ""name"": ""Follow up on Re: GA4 Lead"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2022-12-08T12:47:03.020Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-26T21:12:54.386Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-26 21:12:54.386,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1204372551833641,"{""gid"": ""1204372551833641"", ""name"": ""Need for GA4 Offer"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-11T13:15:47.199Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-28T13:18:46.586Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-28 13:18:46.586,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1203874203126072,"{""gid"": ""1203874203126072"", ""name"": ""[GA4] DM Lead"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-02-01T09:31:49.153Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-27T09:46:15.321Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-27 09:46:15.321,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1204330010621092,"{""gid"": ""1204330010621092"", ""name"": ""Search Tracking Fixes"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1204167891637644"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1204183438404660"", ""resource_type"": ""project""}], ""completed"": true, ""created_at"": ""2023-04-04T11:12:51.935Z"", ""modified_at"": ""2023-04-11T07:28:15.409Z"", ""completed_at"": ""2023-04-11T07:28:08.001Z"", ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-11 07:28:15.409,2023-04-14 15:44:29.368,node_loader.0.0
1204258209152210,"{""gid"": ""1204258209152210"", ""name"": ""Search List Performance"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1204183438404660"", ""resource_type"": ""project""}], ""completed"": true, ""created_at"": ""2023-03-24T11:00:16.913Z"", ""modified_at"": ""2023-04-09T14:39:49.280Z"", ""completed_at"": ""2023-04-09T14:39:46.949Z"", ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-09 14:39:49.280,2023-04-14 15:44:29.368,node_loader.0.0
1204390205361909,"{""gid"": ""1204390205361909"", ""name"": ""Y GA4 Tracking"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203639521855760"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-13T12:42:41.255Z"", ""modified_at"": ""2023-04-13T13:08:23.351Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-13 13:08:23.351,2023-04-14 15:44:29.368,node_loader.0.0
1204390205361913,"{""gid"": ""1204390205361913"", ""name"": ""Y UA Tracking"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203639521855760"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-13T13:07:55.112Z"", ""modified_at"": ""2023-04-13T13:08:26.631Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-13 13:08:26.631,2023-04-14 15:44:29.368,node_loader.0.0
1204390205361919,"{""gid"": ""1204390205361919"", ""name"": ""GR | GA4 Tracking"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203639521855760"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-13T13:08:34.781Z"", ""modified_at"": ""2023-04-13T13:08:49.980Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-13 13:08:49.980,2023-04-14 15:44:29.368,node_loader.0.0
1204390205361922,"{""gid"": ""1204390205361922"", ""name"": ""GR | UA Tracking"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203639521855760"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-13T13:08:59.111Z"", ""modified_at"": ""2023-04-13T13:09:13.110Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-13 13:09:13.110,2023-04-14 15:44:29.368,node_loader.0.0
